isbn;titulo;autor;editorial;categoria;año_publicacion;idioma;formato;paginas;precio_venta_pvp;precio_coste;margen_bruto_pct;disponible_online;disponible_tienda;activo;fecha_alta_catalogo;resena_texto
978-577-358-7123-6;Libro 0080 - Infantil/Juvenil;Jeff Kinney;Anagrama;Infantil/Juvenil;2006;Español;Tapa dura;132;12.49;7.01;43.89;Sí;Sí;Sí;2021-06-24;Con su formato de diario ilustrado, Kinney captura con precisión y gracia la experiencia de crecer. Sus libros son perfectos para los lectores reacios y para cualquiera que recuerde con nostalgia la adolescencia.
978-725-520-8862-0;Libro 0081 - Autoayuda;Brené Brown;Tusquets;Autoayuda;2008;Español;Tapa dura;173;17.31;9.5;45.12;Sí;Sí;Sí;2020-10-03;Con historias reales y datos de su investigación, Brown explora cómo la vergüenza nos paraliza y cómo la empatía nos libera. Un libro valiente para quienes quieren relacionarse de forma más auténtica.
978-149-698-8852-0;Libro 0082 - Autoayuda;Brené Brown;Destino;Autoayuda;2002;Español;Bolsillo;318;18.5;9.51;48.6;Sí;Sí;No;2020-10-07;Brown desmonta el mito de que la fortaleza equivale a la impenetrabilidad emocional. Su propuesta de vivir con el corazón abierto, aceptando la incertidumbre, resulta profundamente liberadora.
978-386-570-7051-9;Libro 0083 - Idiomas;Norman Whitney;Crítica;Idiomas;1995;Inglés;Tapa dura;262;26.67;18.34;31.23;Sí;No;Sí;2022-04-07;Los materiales de Whitney tienen la virtud de presentar el idioma en contextos reales y motivadores. Un recurso que acompaña al estudiante con solidez desde los niveles básicos hasta los intermedios.
978-923-396-8588-0;Libro 0084 - Idiomas;Raymond Murphy;Random House;Idiomas;2000;Español;Tapa dura;580;19.19;11.73;38.89;Sí;Sí;Sí;2020-01-31;La claridad expositiva de Murphy y la organización lógica de sus contenidos hacen de este libro el punto de referencia para el aprendizaje de la gramática inglesa. Décadas de uso avalan su efectividad.
978-290-712-2430-7;Libro 0085 - Historia;Jared Diamond;Alfaguara;Historia;2005;Español;Tapa blanda;552;24.29;15.55;35.97;Sí;Sí;Sí;2019-08-14;Una reconstrucción histórica de gran rigor que no sacrifica la accesibilidad. El autor da vida a épocas pasadas con una prosa vívida y un análisis profundo de las fuerzas que las modelaron.
978-625-258-7429-3;Libro 0086 - Economía/Negocios;Thomas Piketty;Salamandra;Economía/Negocios;1983;Catalán;Ebook;274;22.79;12.74;39.0;Sí;No;Sí;2019-10-20;Un análisis perspicaz de los mecanismos económicos que rigen el mundo contemporáneo. El autor combina rigor académico con ejemplos concretos para explicar fenómenos que afectan a nuestra vida cotidiana.
978-664-980-6087-1;Libro 0087 - Ficción;Stephen King;Random House;Ficción;2004;Inglés;Tapa dura;301;13.09;8.79;32.86;Sí;Sí;Sí;2023-07-21;King es el maestro del horror contemporáneo, pero sus mejores novelas van mucho más allá del miedo. Sus historias exploran la oscuridad humana, la pérdida y la redención con una potencia narrativa arrolladora.
978-92-450-9542-6;Libro 0088 - Infantil/Juvenil;Rick Riordan;Espasa;Infantil/Juvenil;2007;Español;Tapa dura;127;11.19;7.61;32.0;Sí;No;Sí;2019-12-03;Un libro que respeta la inteligencia del lector joven. Con una narrativa ágil y personajes que evolucionan con autenticidad, el autor construye una historia que perdura.
978-444-510-1600-5;Libro 0089 - Cómics/Manga;Art Spiegelman;Crítica;Cómics/Manga;1982;Español;Tapa dura;307;17.01;10.35;39.15;Sí;Sí;Sí;2021-12-25;Con un trazo aparentemente simple pero lleno de significado, Spiegelman creó uno de los documentos más poderosos sobre la memoria, la identidad y el trauma intergeneracional.
978-184-994-8575-3;Libro 0090 - No Ficción;Daniel Kahneman;Espasa;No Ficción;1999;Español;Tapa dura;234;21.37;13.56;36.56;Sí;Sí;Sí;2020-06-14;Kahneman, Premio Nobel de Economía, expone con claridad los dos sistemas que rigen nuestra mente: el rápido e intuitivo y el lento y reflexivo. Un libro fundamental para entender por qué tomamos malas decisiones.
978-275-452-9884-9;Libro 0091 - Autoayuda;James Clear;Crítica;Autoayuda;2011;Gallego;Bolsillo;300;12.71;6.59;48.19;Sí;Sí;Sí;2019-03-23;Un manual práctico que combina neurociencia y psicología conductual. Clear argumenta que el uno por ciento de mejora diaria, sostenida en el tiempo, produce resultados que ningún gran esfuerzo puntual puede igualar.
978-687-752-7285-7;Libro 0092 - No Ficción;Daniel Kahneman;Tusquets;No Ficción;2013;Español;Tapa blanda;409;24.51;15.89;35.17;Sí;Sí;Sí;2019-01-02;Una obra revolucionaria que combina décadas de investigación en psicología y economía conductual. Kahneman demuestra que somos mucho menos racionales de lo que creemos y mucho más predecibles de lo que nos gustaría.
978-395-842-2484-2;Libro 0093 - Cómics/Manga;Naoki Urasawa;Planeta;Cómics/Manga;1995;Español;Tapa blanda;326;8.48;5.53;34.73;Sí;Sí;Sí;2020-01-07;Urasawa teje tramas que mezclan thriller, drama y filosofía con una habilidad narrativa excepcional. Sus obras exigen atención y recompensan al lector con una experiencia que trasciende el entretenimiento.
978-131-843-1052-5;Libro 0094 - Ciencia y Tecnología;Stephen Hawking;Destino;Ciencia y Tecnología;1983;Español;Tapa dura;407;45.52;28.5;37.39;Sí;Sí;Sí;2020-05-22;Hawking resume décadas de investigación cosmológica en un texto sorprendentemente ameno. Desde los agujeros negros hasta el origen del universo, transforma conceptos abstractos en imágenes comprensibles e impactantes.
978-139-101-2344-1;Libro 0095 - Cómics/Manga;Naoki Urasawa;Ediciones B;Cómics/Manga;1986;Español;Tapa blanda;327;10.74;6.66;38.01;Sí;Sí;Sí;2022-03-03;Cada personaje de Urasawa tiene una historia que importa. Su capacidad para manejar narrativas coral de gran complejidad sin perder nunca al lector es la marca de un genio del cómic.
978-678-517-3051-4;Libro 0096 - No Ficción;Michael Lewis;Tusquets;No Ficción;2002;Español;Tapa dura;307;23.86;14.14;40.72;Sí;Sí;Sí;2023-10-13;Lewis combina el rigor del periodismo de investigación con el ritmo de una novela. Sus libros sobre finanzas son imprescindibles no solo para entender los mercados, sino la naturaleza humana en entornos de presión extrema.
978-648-242-7111-3;Libro 0097 - Cómics/Manga;Naoki Urasawa;Espasa;Cómics/Manga;2024;Español;Bolsillo;224;14.09;9.49;32.64;Sí;Sí;Sí;2020-09-07;Urasawa escribe thrillers de la mente con el lenguaje del manga. Sus historias plantean dilemas éticos y filosóficos envueltos en una acción que no da respiro.
978-135-402-8014-9;Libro 0098 - Historia;Ian Kershaw;Paidós;Historia;1986;Español;Tapa blanda;397;20.45;13.98;31.64;Sí;Sí;Sí;2021-08-03;Kershaw es el biógrafo de referencia del nazismo. Sus análisis del ascenso y caída del Tercer Reich combinan una erudición impresionante con una narrativa que mantiene la tensión de una novela.
978-640-801-4564-0;Libro 0099 - Cómics/Manga;Alan Moore;Planeta;Cómics/Manga;2011;Español;Tapa dura;243;12.61;8.75;30.64;Sí;Sí;Sí;2022-12-09;Una obra que redefine los límites del noveno arte. Moore demuestra que el cómic puede ser tan ambicioso y complejo como cualquier otra forma literaria.
978-260-308-4149-0;Libro 0100 - Arte y Fotografía;John Berger;Penguin Clásicos;Arte y Fotografía;1987;Español;Tapa dura;144;55.33;40.33;27.11;Sí;Sí;Sí;2020-08-29;Una de las voces más originales de la crítica cultural del siglo XX. Berger revela las dimensiones políticas y económicas que subyacen en la producción artística con una lucidez que sigue siendo vigente.
978-355-217-2061-3;Libro 0101 - Infantil/Juvenil;Laura Gallego;Siruela;Infantil/Juvenil;2003;Inglés;Tapa blanda;73;16.27;9.07;44.24;Sí;Sí;Sí;2020-10-25;Gallego es la autora de fantasía juvenil más querida en lengua española. Sus mundos están construidos con una coherencia interna impresionante y sus personajes tienen una profundidad emocional poco común en el género.
978-743-196-6499-9;Libro 0102 - Historia;Antony Beevor;Random House;Historia;2016;Español;Tapa blanda;294;20.91;12.46;40.39;Sí;Sí;Sí;2021-06-06;Una reconstrucción histórica de gran rigor que no sacrifica la accesibilidad. El autor da vida a épocas pasadas con una prosa vívida y un análisis profundo de las fuerzas que las modelaron.
978-412-561-8152-3;Libro 0103 - Economía/Negocios;Tim Harford;Random House;Economía/Negocios;2010;Español;Tapa blanda;446;23.66;15.14;35.99;Sí;Sí;Sí;2023-10-17;Harford explica fenómenos económicos cotidianos con una curiosidad contagiosa. Sus análisis sobre precios, mercados y comportamiento humano hacen de la economía una ciencia apasionante y relevante para todos.
978-98-710-6065-0;Libro 0104 - Historia;Antony Beevor;Anagrama;Historia;2004;Español;Tapa blanda;525;17.05;10.13;40.58;Sí;Sí;Sí;2022-09-09;El autor combina la precisión del académico con el pulso narrativo del novelista para ofrecer una visión fresca y documentada de un período crucial. Una obra que ilumina el presente a través del pasado.
978-547-318-3153-0;Libro 0105 - Autoayuda;Robin Sharma;Planeta;Autoayuda;1987;Español;Tapa blanda;262;13.23;7.34;44.49;Sí;Sí;No;2022-03-21;Una obra que mezcla narración motivadora con consejos prácticos. Sharma argumenta que cultivar la mente, el cuerpo y el carácter son los pilares del éxito sostenible. Lectura recomendada para líderes en formación.
978-761-623-5555-9;Libro 0106 - No Ficción;Malcolm Gladwell;Penguin Clásicos;No Ficción;2021;Español;Tapa blanda;295;17.87;10.65;40.38;Sí;Sí;Sí;2022-07-27;Con su característico talento narrativo, Gladwell revela los patrones ocultos que determinan el éxito, el cambio y la toma de decisiones. Un libro que te hará cuestionar lo que crees saber sobre cómo funciona el mundo.
978-643-285-8478-1;Libro 0107 - Cómics/Manga;Alan Moore;Planeta;Cómics/Manga;2017;Español;Bolsillo;221;14.9;10.42;30.09;Sí;No;Sí;2023-05-20;Moore construye guiones con la densidad de las mejores novelas. Su dominio del simbolismo, la intertextualidad y la psicología de los personajes es sin igual en el medio.
978-256-409-5068-9;Libro 0108 - Economía/Negocios;Daron Acemoglu;Paidós;Economía/Negocios;2000;Español;Tapa blanda;378;24.62;13.6;44.77;Sí;Sí;Sí;2019-08-24;Acemoglu explora por qué algunas naciones prosperan y otras fracasan, centrándose en el papel decisivo de las instituciones políticas y económicas. Un análisis brillante con implicaciones para entender el mundo contemporáneo.
978-240-483-5945-4;Libro 0109 - Idiomas;Michael Swan;Paidós;Idiomas;1980;Español;Tapa blanda;502;34.79;22.39;35.63;Sí;Sí;Sí;2020-02-13;Swan es el referente de los profesores de inglés en todo el mundo. Su capacidad para distinguir entre usos formales e informales y para explicar los casos complejos con claridad no tiene igual.
978-215-672-3530-6;Libro 0110 - Idiomas;Alan Grieve;Espasa;Idiomas;2012;Español;Tapa blanda;580;23.34;16.02;31.36;Sí;Sí;Sí;2021-03-19;Grieve es un pedagogo que entiende cómo aprenden los adultos. Sus libros equilibran estructura gramatical con práctica comunicativa para crear un aprendizaje sólido y funcional.
978-614-685-2567-3;Libro 0111 - Autoayuda;James Clear;Destino;Autoayuda;2013;Español;Tapa blanda;261;13.89;8.75;37.0;Sí;Sí;Sí;2021-03-17;Con claridad y precisión, Clear explica por qué los hábitos son el fundamento del éxito y cómo diseñar un entorno que facilite el cambio positivo. Imprescindible para cualquier persona que quiera transformar su vida.
978-600-917-9592-4;Libro 0112 - Cómics/Manga;Frank Miller;Espasa;Cómics/Manga;2006;Español;Tapa blanda;332;14.1;8.31;41.09;Sí;Sí;No;2023-04-22;Con un trazo expresionista y una narrativa sin concesiones, Miller explora los límites morales del héroe. Una obra brutal y poética que transformó para siempre el lenguaje del cómic.
978-748-859-4004-6;Libro 0113 - Ciencia y Tecnología;Stephen Hawking;Espasa;Ciencia y Tecnología;1983;Español;Ebook;410;18.16;12.07;27.47;Sí;No;Sí;2020-05-14;Con su inconfundible capacidad para simplificar lo complejo, Hawking lleva al lector por los grandes interrogantes sobre el espacio, el tiempo y la existencia. Una lectura que ensancha los límites de lo imaginable.
978-941-991-3194-0;Libro 0114 - Autoayuda;James Clear;Random House;Autoayuda;2024;Inglés;Tapa blanda;210;15.65;9.19;41.25;Sí;Sí;Sí;2020-05-09;Clear revolucionó la literatura de productividad con un enfoque basado en sistemas, no en metas. Su propuesta es simple pero transformadora: céntrate en la identidad que quieres tener, los hábitos seguirán.
978-336-858-2350-7;Libro 0115 - Historia;Ian Kershaw;Penguin Clásicos;Historia;1995;Español;Tapa blanda;531;30.73;18.84;38.7;Sí;Sí;Sí;2019-05-24;Con acceso a fuentes primarias únicas y una perspectiva histórica de largo alcance, Kershaw reconstruye uno de los períodos más oscuros de la historia con una objetividad y una profundidad que lo convierten en referencia.
978-259-436-6300-0;Libro 0116 - Autoayuda;Robin Sharma;Random House;Autoayuda;1987;Español;Tapa blanda;266;14.06;8.35;40.58;Sí;Sí;Sí;2021-02-23;Sharma comparte su filosofía sobre el liderazgo desde dentro: la idea de que antes de guiar a otros hay que dominar la propia vida. Un libro lleno de rituales y principios para alcanzar el máximo rendimiento.
978-835-785-3308-5;Libro 0117 - No Ficción;Walter Isaacson;Alianza Editorial;No Ficción;1984;Gallego;Tapa blanda;247;17.3;10.72;38.03;Sí;Sí;Sí;2019-11-12;Isaacson es el biógrafo de los grandes genios del siglo XX y XXI. Sus retratos combinan acceso privilegiado con una capacidad narrativa que convierte la vida de personas complejas en historias apasionantes.
978-762-521-3695-6;Libro 0118 - Idiomas;Norman Whitney;Ariel;Idiomas;2010;Español;Tapa dura;337;24.55;17.64;28.14;Sí;Sí;Sí;2019-06-01;Whitney desarrolló materiales de aprendizaje de inglés que combinan comprensión lectora, vocabulario y gramática de forma integrada. Sus libros son herramientas eficaces para el aprendizaje autónomo.
978-672-933-6176-0;Libro 0119 - Ficción;Elena Ferrante;Ariel;Ficción;2008;Español;Bolsillo;427;19.71;13.6;30.98;Sí;Sí;Sí;2023-04-08;Las novelas de Ferrante son un estudio profundo de la identidad, la ambición y el amor. Sus personajes femeninos son complejos, contradictorios y completamente humanos.
978-905-417-7108-9;Libro 0120 - Autoayuda;Robin Sharma;Destino;Autoayuda;1980;Español;Tapa blanda;234;16.6;10.13;38.97;Sí;Sí;Sí;2022-11-08;Una visión del éxito que va más allá de la productividad. Sharma integra prácticas de bienestar, reflexión y propósito en un sistema coherente que ha transformado la vida de miles de lectores.
978-274-838-1591-2;Libro 0121 - Economía/Negocios;Adam Smith;Crítica;Economía/Negocios;2003;Inglés;Tapa dura;377;34.31;21.24;38.08;Sí;Sí;Sí;2019-08-15;Un texto que transformó para siempre el pensamiento económico occidental. Smith combina filosofía moral con observación empírica para trazar los principios del capitalismo de mercado.
978-946-374-5271-7;Libro 0122 - Historia;Antony Beevor;Random House;Historia;1996;Español;Tapa blanda;269;15.31;10.46;31.7;Sí;Sí;Sí;2023-11-24;Un libro de historia que trasciende la mera crónica de hechos. El autor se interesa por las personas, las ideas y los conflictos que dieron forma a su época.
978-251-212-5089-0;Libro 0123 - Infantil/Juvenil;Rick Riordan;Planeta;Infantil/Juvenil;2002;Español;Tapa dura;85;14.99;7.91;47.2;Sí;Sí;Sí;2019-07-11;Una obra que mezcla imaginación desbordante con emoción genuina. El autor tiene el don de crear mundos que los niños habitan de manera total y que los adultos recuerdan con nostalgia.
978-306-402-3822-9;Libro 0124 - Ficción;Almudena Grandes;Salamandra;Ficción;1990;Español;Bolsillo;484;11.16;7.54;32.4;Sí;No;Sí;2023-05-20;Una novela de gran hondura emocional que explora la complejidad de las relaciones humanas. El autor construye personajes memorables en un mundo reconocible, con una prosa que equilibra la intensidad dramática con momentos de genuina belleza.
978-931-804-1732-3;Libro 0125 - Ficción;Almudena Grandes;Destino;Ficción;1985;Español;Tapa blanda;275;19.62;12.68;35.37;Sí;Sí;Sí;2020-09-05;Una narración que atrapa desde las primeras páginas. El autor maneja el tiempo y los puntos de vista con maestría, construyendo una historia que reflexiona sobre la identidad, la pertenencia y los lazos que nos definen.
978-310-960-6689-3;Libro 0126 - No Ficción;Daniel Kahneman;Penguin Clásicos;No Ficción;1995;Español;Bolsillo;428;23.88;15.06;36.94;Sí;Sí;Sí;2022-07-25;Con anécdotas y experimentos fascinantes, Kahneman desafía nuestra confianza en el sentido común. Un manual indispensable para tomar mejores decisiones en la vida, los negocios y las relaciones.
978-111-763-2974-9;Libro 0127 - Economía/Negocios;Ha-Joon Chang;Penguin Clásicos;Economía/Negocios;2012;Español;Bolsillo;441;37.28;21.31;42.83;Sí;Sí;Sí;2023-01-01;Con un tono accesible y datos contundentes, Chang explica por qué las políticas económicas que funcionaron en los países ricos se niegan a los países en desarrollo. Imprescindible para entender la economía global.
978-929-983-3923-8;Libro 0128 - Ciencia y Tecnología;Carl Sagan;Ediciones B;Ciencia y Tecnología;1985;Español;Tapa blanda;489;25.72;17.57;31.7;Sí;Sí;Sí;2019-01-12;Con una prosa poética y un rigor científico impecable, Sagan explora el lugar de la humanidad en el cosmos. Inspirador, humilde y profundamente humano, este libro es de los que cambian la vida.
978-748-716-2649-3;Libro 0129 - Infantil/Juvenil;Rick Riordan;Ariel;Infantil/Juvenil;1995;Español;Tapa dura;236;10.22;5.88;42.43;Sí;Sí;Sí;2021-05-03;Un clásico de la literatura juvenil que ha formado a generaciones de lectores. Sus valores de amistad, valentía y honestidad se transmiten a través de una trama llena de ritmo y color.
978-313-359-8062-0;Libro 0130 - Economía/Negocios;Daron Acemoglu;Salamandra;Economía/Negocios;2017;Español;Tapa blanda;330;28.03;16.78;40.15;Sí;Sí;Sí;2021-05-01;Con rigor académico y accesibilidad, Acemoglu demuestra que la riqueza de las naciones no depende de la geografía ni la cultura, sino de las instituciones que favorecen o limitan la participación y el emprendimiento.
978-531-362-6850-2;Libro 0131 - Idiomas;Michael Swan;Crítica;Idiomas;2003;Español;Tapa blanda;330;24.29;16.07;33.83;Sí;Sí;Sí;2021-08-15;Swan ofrece explicaciones gramaticales con una precisión y accesibilidad únicas. Su obra es referencia obligada en la enseñanza del inglés a hispanohablantes.
978-654-554-5863-1;Libro 0132 - Cómics/Manga;Naoki Urasawa;Planeta;Cómics/Manga;1987;Español;Tapa blanda;322;13.22;9.01;31.87;Sí;Sí;Sí;2022-02-04;Urasawa es uno de los mangakas más dotados de su generación. Sus historias combinan suspense psicológico, personajes profundos y un dominio del ritmo narrativo que mantiene al lector en vilo hasta el final.
978-263-377-2144-9;Libro 0133 - Economía/Negocios;Tim Harford;Paidós;Economía/Negocios;1987;Español;Tapa dura;449;27.54;16.68;39.42;Sí;Sí;No;2022-08-27;Con el rigor de un economista y el talento narrativo de un escritor, Harford revela la lógica oculta detrás de las decisiones económicas que tomamos a diario. Una lectura tan entretenida como instructiva.
978-537-685-9524-2;Libro 0134 - Ciencia y Tecnología;Brian Greene;Anagrama;Ciencia y Tecnología;2002;Español;Tapa blanda;595;45.67;31.8;30.36;Sí;Sí;Sí;2019-01-04;Greene explica las implicaciones de la física de cuerdas y la relatividad general de manera apasionante. Para quienes quieran entender de qué está hecho el universo sin perderse en ecuaciones, este es el libro definitivo.
978-385-281-9631-7;Libro 0135 - Autoayuda;Mark Manson;Siruela;Autoayuda;1992;Español;Tapa blanda;230;15.31;9.81;35.91;Sí;Sí;Sí;2021-03-02;Manson ofrece una perspectiva refrescante sobre el éxito y la felicidad, alejada de los clichés motivacionales. Con humor y contundencia, propone centrarse en lo verdaderamente importante y dejar ir lo superficial.
978-235-577-9532-4;Libro 0136 - Autoayuda;Mark Manson;Ariel;Autoayuda;2011;Español;Tapa blanda;172;20.16;12.55;37.73;Sí;Sí;Sí;2021-05-05;Con un estilo desenfadado y sin rodeos, Manson desmonta mitos sobre el éxito y la autoestima. Una lectura incómoda en el mejor sentido: te obliga a replantearte qué es lo que realmente importa en la vida.
978-855-642-2851-3;Libro 0137 - Autoayuda;Mark Manson;Alianza Editorial;Autoayuda;1989;Español;Tapa dura;176;15.64;9.17;41.38;Sí;Sí;Sí;2022-12-21;Este ensayo rompe con la literatura de autoayuda convencional. Manson defiende que aceptar nuestras limitaciones y elegir nuestros valores conscientemente es más transformador que cualquier técnica de pensamiento positivo.
978-120-374-5075-1;Libro 0138 - Infantil/Juvenil;Rick Riordan;Paidós;Infantil/Juvenil;2009;Español;Tapa blanda;307;10.93;5.88;46.21;Sí;Sí;Sí;2019-07-31;El autor entiende a los lectores jóvenes: les da aventura sin condescendencia, emoción sin manipulación y personajes complejos sin artificios innecesarios.
978-120-673-4398-7;Libro 0139 - Ciencia y Tecnología;Stephen Hawking;Paidós;Ciencia y Tecnología;1996;Español;Bolsillo;579;37.15;24.54;33.94;Sí;Sí;Sí;2022-07-27;Hawking demostró que la física teórica puede ser literatura de masas. Su capacidad para traducir ecuaciones en narrativa es un regalo para la humanidad curiosa.
978-419-565-3535-7;Libro 0140 - Historia;Ian Kershaw;Alianza Editorial;Historia;2015;Español;Tapa blanda;497;26.95;18.17;32.58;Sí;Sí;Sí;2022-09-26;Kershaw es el gran cartógrafo del horror nazi. Sus libros son lecturas necesarias, aunque difíciles, para entender cómo la modernidad puede producir la barbarie.
978-385-848-9584-8;Libro 0141 - Economía/Negocios;Ha-Joon Chang;Penguin Clásicos;Economía/Negocios;1995;Español;Tapa dura;276;29.87;17.38;41.82;Sí;Sí;Sí;2023-02-15;Chang combina rigor académico con ironía inteligente para revisar la historia económica mundial. Una obra que te hace cuestionar muchas certezas sobre el capitalismo y el desarrollo.
978-547-965-4305-6;Libro 0142 - Ficción;Donna Tartt;Random House;Ficción;1981;Inglés;Tapa blanda;204;16.73;11.94;28.66;Sí;Sí;Sí;2023-09-10;Con una atención al detalle proustiana y una narrativa que hipnotiza, Tartt explora los efectos del crimen, la culpa y la belleza en personajes que buscan pertenecer a algo más grande que ellos mismos.
978-483-661-5174-9;Libro 0143 - Cómics/Manga;Osamu Tezuka;Random House;Cómics/Manga;1999;Español;Tapa blanda;224;13.4;8.94;33.28;Sí;Sí;Sí;2021-04-12;Tezuka es el padre del manga moderno y su obra es testimonio de una imaginación sin límites. Combina aventura, ciencia ficción y reflexión humanista con un estilo visual que sigue siendo referencia décadas después.
978-944-657-3202-3;Libro 0144 - Cómics/Manga;Alan Moore;Penguin Clásicos;Cómics/Manga;2020;Catalán;Tapa dura;219;16.4;11.3;31.07;Sí;Sí;Sí;2021-12-24;Cada obra de Moore es una declaración de principios sobre el potencial del cómic. Sus historias son oscuras porque la oscuridad es necesaria para que la luz tenga sentido.
978-203-870-3229-0;Libro 0145 - No Ficción;Daniel Kahneman;Ariel;No Ficción;2002;Español;Tapa dura;363;20.77;13.52;34.93;Sí;Sí;Sí;2021-02-05;Kahneman y Tversky revolucionaron la psicología con sus estudios sobre los sesgos cognitivos. Este libro es el testamento de una vida de investigación que cambió nuestra forma de entendernos a nosotros mismos.
978-290-561-1687-6;Libro 0146 - Idiomas;Alan Grieve;Alfaguara;Idiomas;2022;Español;Tapa dura;470;41.19;27.89;32.29;Sí;Sí;Sí;2019-02-11;Grieve diseñó recursos pedagógicos para el aprendizaje de idiomas que destacan por su practicidad y su atención a los contextos reales de uso.
978-802-907-2693-3;Libro 0147 - Autoayuda;Dale Carnegie;Espasa;Autoayuda;2005;Español;Tapa dura;224;12.55;7.13;43.2;Sí;Sí;Sí;2020-12-27;Con casos prácticos y un estilo ameno, Carnegie enseña a escuchar activamente, reconocer los logros ajenos y evitar la crítica destructiva. Una guía indispensable para el desarrollo de la inteligencia interpersonal.
978-922-996-5871-2;Libro 0148 - Ciencia y Tecnología;Neil deGrasse Tyson;Alfaguara;Ciencia y Tecnología;2003;Español;Bolsillo;645;25.89;16.21;37.37;Sí;Sí;Sí;2022-09-18;Una invitación irresistible a mirar el cielo con ojos científicos. Tyson explica los grandes misterios del universo con una mezcla única de rigor académico y cercanía humana que pocos divulgadores logran.
978-907-199-1656-5;Libro 0149 - Ficción;Isabel Allende;Tusquets;Ficción;1993;Español;Tapa blanda;529;18.72;11.6;38.06;Sí;Sí;Sí;2019-07-08;Allende escribe con el corazón y con una maestría técnica que convierte sus novelas en experiencias inmersivas. Una escritora que conecta emocionalmente con el lector desde la primera página.
978-656-117-8193-0;Libro 0150 - Autoayuda;Dale Carnegie;Anagrama;Autoayuda;2016;Español;Tapa dura;197;13.71;8.72;36.43;Sí;Sí;Sí;2022-06-08;Carnegie sintetizó décadas de observación del comportamiento humano en principios que cualquiera puede aplicar. Un libro generoso que parte de la convicción de que todos podemos mejorar nuestra forma de relacionarnos.
978-732-753-3216-1;Libro 0151 - Autoayuda;Robin Sharma;Crítica;Autoayuda;1980;Español;Tapa blanda;174;13.74;8.46;38.46;Sí;Sí;Sí;2020-02-17;Sharma presenta el liderazgo como un compromiso con la excelencia personal antes que organizacional. Sus rituales matutinos y estrategias de enfoque han inspirado a profesionales de todo el mundo.
978-859-404-3858-9;Libro 0152 - Economía/Negocios;Ha-Joon Chang;Alianza Editorial;Economía/Negocios;2023;Español;Tapa blanda;228;19.92;12.53;37.12;Sí;Sí;Sí;2022-07-24;El economista más legible del mundo. Chang tiene la rara virtud de hacer accesible la economía sin simplificarla, y de defender posiciones heterodoxas con argumentos difíciles de refutar.
978-325-574-8203-0;Libro 0153 - Arte y Fotografía;E.H. Gombrich;Anagrama;Arte y Fotografía;2021;Euskera;Tapa blanda;151;54.25;40.82;24.76;Sí;Sí;Sí;2022-03-27;Gombrich no solo describía el arte: lo explicaba. Su capacidad para conectar la obra con la mentalidad de su época y con la psicología de la percepción lo convierte en un divulgador sin par.
978-816-635-8263-9;Libro 0154 - No Ficción;Daniel Kahneman;Paidós;No Ficción;1991;Español;Bolsillo;190;17.41;11.45;34.21;Sí;No;Sí;2023-07-27;Kahneman, Premio Nobel de Economía, expone con claridad los dos sistemas que rigen nuestra mente: el rápido e intuitivo y el lento y reflexivo. Un libro fundamental para entender por qué tomamos malas decisiones.
978-600-433-3610-6;Libro 0155 - Ficción;Almudena Grandes;Random House;Ficción;2006;Español;Ebook;547;12.22;7.65;31.69;Sí;No;Sí;2020-01-21;Un relato que combina acción y reflexión en medidas perfectas. Los personajes son complejos y creíbles, y la trama avanza con una urgencia que hace difícil dejar el libro.
978-127-775-8639-2;Libro 0156 - No Ficción;Steven Pinker;Tusquets;No Ficción;2010;Inglés;Tapa blanda;379;23.19;14.7;36.62;Sí;Sí;Sí;2022-01-07;Pinker ofrece un análisis riguroso y optimista de la evolución humana, apoyado en datos históricos. Argumenta que, a pesar de las apariencias, el mundo ha mejorado en casi todos los indicadores de bienestar.
978-200-750-2038-2;Libro 0157 - Ciencia y Tecnología;Neil deGrasse Tyson;Penguin Clásicos;Ciencia y Tecnología;1997;Español;Tapa dura;398;22.03;16.36;25.75;Sí;Sí;Sí;2023-01-02;Tyson combina datos astronómicos con reflexiones filosóficas sobre nuestro lugar en el universo. Un libro que amplía la mente y recuerda lo pequeños y extraordinarios que somos a la vez.
978-690-789-6141-8;Libro 0158 - Arte y Fotografía;E.H. Gombrich;Siruela;Arte y Fotografía;2006;Inglés;Tapa blanda;196;32.69;25.15;23.08;Sí;Sí;Sí;2023-01-29;La historia del arte de Gombrich es la iniciación más hermosa al mundo de las imágenes. Décadas después de su primera publicación, sigue siendo el libro que más aficionados al arte ha creado en el mundo.
978-306-229-7126-1;Libro 0159 - Historia;Antony Beevor;Planeta;Historia;2023;Español;Tapa dura;259;19.1;11.48;39.89;No;Sí;Sí;2021-06-11;Con acceso a fuentes primarias y una interpretación original, el autor revisita un capítulo de la historia que invita a cuestionar los relatos establecidos.
978-513-993-1196-0;Libro 0160 - Infantil/Juvenil;Rick Riordan;Salamandra;Infantil/Juvenil;2021;Catalán;Tapa dura;219;17.42;10.04;42.35;Sí;Sí;Sí;2020-10-20;Una historia emocionante que combina aventura, amistad y una mirada honesta sobre el crecimiento. Sus personajes son creíbles y sus dilemas, universales.
