linea_id;venta_id;num_linea;isbn;categoria;precio_unitario;unidades;importe_bruto;descuento_pct;importe_neto
L018359;V08106;3;978-239-793-2478-9;Ficción;18,14;3;54,42;0,05;51,7
L018360;V08106;4;978-743-196-6499-9;Historia;22,5;2;45,0;0,2;36,0
L018361;V08106;5;978-300-553-5220-8;Autoayuda;15,3;1;15,3;0,05;14,54
L018362;V08107;1;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0,05;19,32
L018363;V08108;1;978-664-980-6087-1;Ficción;16,8;3;50,4;0;50,4
L018364;V08108;2;978-743-196-6499-9;Historia;22,5;2;45,0;0,2;36,0
L018365;V08108;3;978-301-255-8560-2;Cómics/Manga;10,17;2;20,34;0,15;17,29
L018366;V08108;4;978-503-296-7936-9;No Ficción;20,65;1;20,65;0;20,65
L018367;V08109;1;978-676-773-2135-1;Arte y Fotografía;40,44;3;121,32;0;121,32
L018368;V08110;1;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0,1;72,79
L018369;V08110;2;978-182-221-3353-4;Cómics/Manga;15,79;2;31,58;0,2;25,26
L018370;V08110;3;978-232-161-3242-4;Ficción;13,56;1;13,56;0,05;12,88
L018371;V08110;4;978-743-196-6499-9;Historia;22,5;1;22,5;0,05;21,38
L018372;V08110;5;978-758-946-3611-4;Idiomas;21,44;1;21,44;0,15;18,22
L018373;V08111;1;978-300-553-5220-8;Autoayuda;15,3;2;30,6;0,1;27,54
L018374;V08111;2;978-239-793-2478-9;Ficción;18,14;1;18,14;0,2;14,51
L018375;V08111;3;978-166-573-9497-3;Ficción;13,23;3;39,69;0;39,69
L018376;V08111;4;978-381-226-9068-6;Infantil/Juvenil;12,95;2;25,9;0,15;22,01
L018377;V08111;5;978-232-161-3242-4;Ficción;13,56;2;27,12;0,05;25,76
L018378;V08112;1;978-676-773-2135-1;Arte y Fotografía;40,44;2;80,88;0;80,88
L018379;V08112;2;978-232-161-3242-4;Ficción;13,56;1;13,56;0,05;12,88
L018380;V08112;3;978-862-188-5114-6;Autoayuda;15,81;2;31,62;0;31,62
L018381;V08112;4;978-664-980-6087-1;Ficción;16,8;1;16,8;0;16,8
L018382;V08113;1;978-676-773-2135-1;Arte y Fotografía;40,44;1;40,44;0;40,44
L018383;V08113;2;978-301-255-8560-2;Cómics/Manga;10,17;1;10,17;0,2;8,14
L018384;V08113;3;978-239-793-2478-9;Ficción;18,14;1;18,14;0,1;16,33
L018385;V08113;4;978-300-553-5220-8;Autoayuda;15,3;1;15,3;0,1;13,77
L018386;V08113;5;978-638-931-9804-9;Autoayuda;13,74;2;27,48;0;27,48
L018387;V08114;1;978-725-520-8862-0;Autoayuda;17,45;3;52,35;0,2;41,88
L018388;V08114;2;978-158-613-5713-0;Ciencia y Tecnología;49,92;2;99,84;0,1;89,86
L018389;V08114;3;978-232-161-3242-4;Ficción;13,56;2;27,12;0,1;24,41
L018390;V08115;1;978-725-520-8862-0;Autoayuda;17,45;2;34,9;0,15;29,66
L018391;V08116;1;978-387-548-2312-7;Ciencia y Tecnología;47,21;3;141,63;0;141,63
L018392;V08116;2;978-503-296-7936-9;No Ficción;20,65;2;41,3;0;41,3
L018393;V08117;1;978-232-161-3242-4;Ficción;13,56;1;13,56;0;13,56
L018394;V08117;2;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0;40,28
L018395;V08117;3;978-638-931-9804-9;Autoayuda;13,74;3;41,22;0,05;39,16
L018396;V08117;4;978-166-573-9497-3;Ficción;13,23;1;13,23;0;13,23
L018397;V08117;5;978-381-226-9068-6;Infantil/Juvenil;12,95;1;12,95;0,05;12,3
L018398;V08118;1;978-862-188-5114-6;Autoayuda;15,81;2;31,62;0;31,62
L018399;V08119;1;978-822-977-7530-7;Autoayuda;20,14;1;20,14;0;20,14
L018400;V08119;2;978-758-946-3611-4;Idiomas;21,44;2;42,88;0,2;34,3
L018401;V08119;3;978-121-212-1381-2;Economía/Negocios;29,1;2;58,2;0;58,2
L018402;V08120;1;978-664-980-6087-1;Ficción;16,8;1;16,8;0,2;13,44
L018403;V08120;2;978-822-977-7530-7;Autoayuda;20,14;2;40,28;0;40,28
L018404;V08120;3;978-300-553-5220-8;Autoayuda;15,3;3;45,9;0,1;41,31
L018405;V08120;4;978-758-946-3611-4;Idiomas;21,44;1;21,44;0;21,44
L018406;V08120;5;978-141-841-6955-2;Ciencia y Tecnología;31,61;3;94,83;0,05;90,09
